day,Pcaud_Pc,Pcaud_Pa,Pcaud_PcPa_1,Pcaud_PcPa_2
1,3.5,5.5,2.5,4
2,28,42,18,48
3,70,56,36,80
4,114,228,64,82
5,132,144,56,82
6,130,182,50,184
7,136,222,82,120
8,151.5,220,77,163
9,,,,
10,152,192,78,170
11,86,230,68,124
12,146,198,62,132
13,98,182,28,100
14,50,116,18,134
15,38,120,10,134
16,8,54,2,82
17,,42,0,90
18,,26,0,16
19,,28,0,14
20,,44,0,10
21,,30,0,6
22,,30,0,6
,,,,
27,,52,,
28,,56,,
29,,28,,
30,,26,,
31,,20,,
32,,10,,
33,,6,,
34,,,,
